Buchungsnummer	Kontonummer	Kontobezeichnung	Belegdatum	Belegnummer	Buchungstext	Kostentr‰ger	Kostenstelle	Steuerschl¸ssel	Gegenkonto	Sollbetrag EUR	Habenbetrag EUR	USt-Konto	USt-%	SPLIT1
982	00520	Pkw	01.01.19	660	Vortragsaktualisierung				09000	12.881,51			0,00	
286	00520	Pkw	21.01.19	255	OLB 10179360 M-R7408 4 01				01700	50,42		01406	19,00	
1.029	00520	Pkw	20.02.19	687	Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 5 02 19 End-to-En				01700	-50,42		01406	19,00	
1.031	00520	Pkw	20.02.19	687	<Storno> Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 5 02 19 				01700	50,42		01406	19,00	
1.032	00520	Pkw	20.02.19	689	Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 5 02 19 End-to-En				01700	50,42		01406	19,00	
1.030	00520	Pkw	20.03.19	688	Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 6 03 19 End-to-En				01700	50,42		01406	19,00	
1.033	00520	Pkw	23.04.19	690	Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 7 04 19 End-to-En				01700	50,42		01406	19,00	
1.034	00520	Pkw	20.05.19	691	Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 8 05 19 End-to-En				01700	50,42		01406	19,00	
1.035	00520	Pkw	20.06.19	692		Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 9 06 19 End-to-E				01700	50,42		01406	19,00	
1.036	00520	Pkw	22.07.19	693	Audi Bank Zweigniederlassung der VW Bank GmbH 10179360 M-R7408 10 07 19 End-to-E				01700	50,42		01406	19,00	
235	00520	Pkw	20.08.19	206	OLB 10179360 M-R7408 11 08				01700	50,42		01406	19,00	
247	00520	Pkw	20.09.19	218	OLB 10179360 M-R7408 12 09				01700	50,42		01406	19,00	
770	00520	Pkw	20.09.19	483	OLB RETURN/REFUND Ruckgabe				01700		60,00		0,00	
993	00520	Pkw	20.09.19	483	<Storno> OLB RETURN/REFUND Ruckgabe				01700		-60,00		0,00	
994	00520	Pkw	20.09.19	671	OLB RETURN/REFUND Ruckgabe				01700		60,00		0,00	
1.037	00520	Pkw	20.09.19	671	<Storno> OLB RETURN/REFUND Ruckgabe				01700		-60,00		0,00	
1.038	00520	Pkw	20.09.19	218	<Storno> OLB 10179360 M-R7408 12 09				01700	-50,42		01406	19,00	
1.039	00520	Pkw	20.09.19	694	OLB 10179360 M-R7408 12 09				01700	50,42		01406	19,00	
1.040	00520	Pkw	20.09.19	695	OLB RETURN/REFUND Ruckgabe				01700		60,00		0,00	
1.376	00520	Pkw	20.09.19	694	<Storno> OLB 10179360 M-R7408 12 09				01700	-50,42		01406	19,00	
1.377	00520	Pkw	20.09.19	949	OLB 10179360 M-R7408 12 09				01700	50,42		01406	19,00	
343	00520	Pkw	02.10.19	312	OLB 10179360 M R7408 12 09				01700	50,42		01406	19,00	
848	00520	Pkw	02.10.19	555	OLB 10179360 M R7408 12 0919				01700	50,42		01406	19,00	
899	00520	Pkw	02.10.19	312	<Storno> OLB 10179360 M R7408 12 09				01700	-50,42		01406	19,00	
900	00520	Pkw	02.10.19	606	OLB 10179360 M R7408 12 09				01700	50,42		01406	19,00	
901	00520	Pkw	02.10.19	555	<Storno> OLB 10179360 M R7408 12 0919				01700	-50,42		01406	19,00	
902	00520	Pkw	02.10.19	607	OLB 10179360 M R7408 12 0919				01700	50,42		01406	19,00	
1.375	00520	Pkw	02.10.19	606	<Storno> OLB 10179360 M R7408 12 09				01700	-50,42		01406	19,00	
355	00520	Pkw	21.10.19	324	OLB 10179360 M-R7408 13 10				01700	57,01		01406	19,00	
529	00520	Pkw	21.10.19	324	<Storno> OLB 10179360 M-R7408 13 10				01700	-57,01		01406	19,00	
530	00520	Pkw	21.10.19	324	OLB 10179360 M-R7408 13 10				01700	57,01		01406	19,00	
605	00520	Pkw	21.10.19	324	<Storno> OLB 10179360 M-R7408 13 10				01700	-57,01		01406	19,00	
606	00520	Pkw	21.10.19	324	OLB 10179360 M-R7408 13 10				01700	57,01		01406	19,00	
607	00520	Pkw	21.10.19	324	OLB 10179360 M-R7408 13 10				01700	57,01		01406	19,00	
608	00520	Pkw	21.10.19	324	<Storno> OLB 10179360 M-R7408 13 10				01700	-57,01		01406	19,00	
894	00520	Pkw	21.10.19	601	OLB 10179360 M-R7408 13 1019 +KO				01700	57,01		01406	19,00	
1.378	00520	Pkw	21.10.19	601	<Storno> OLB 10179360 M-R7408 13 1019 +KO				01700	-57,01		01406	19,00	
405	00520	Pkw	20.11.19	374	OLB 10179360 M-R7408 14 1119				01700	50,42		01406	19,00	
475	00520	Pkw	20.11.19	444	OLB 10179360 M-R7408 14 1119				01710	50,42		01406	19,00	
700	00520	Pkw	20.11.19	444	<Storno> OLB 10179360 M-R7408 14 1119				01710	-50,42		01406	19,00	
832	00520	Pkw	20.12.19	542	OLB 10179360 M-R7408 15 1219				01700	50,42		01406	19,00	
983	00670	Geringwertige Wirtschaftsg¸ter	01.01.19	661	Vortragsaktualisierung				09000		126,13		0,00	
257	01401	Abziehbare Vorsteuer 7 %	02.01.19	226	OLB 100011950181	DB			01700	4,22			0,00	
282	01401	Abziehbare Vorsteuer 7 %	21.01.19	251	OLB Kartenzahlung BERLINER	BVG			01700	0,59			0,00	
1.358	01401	Abziehbare Vorsteuer 7 %	21.01.19	251	<Storno> OLB Kartenzahlung BERLINER	BVG			01700	-0,59			0,00	
1.479	01401	Abziehbare Vorsteuer 7 %	22.01.19	1013	403 - Nahverkehr, Hamburg				01600	0,15			0,00	
1.430	01401	Abziehbare Vorsteuer 7 %	01.02.19	984	9-Uhr Tageskarte, HVV, Hamburg AB oder 2 Ringe, 2. Kl	Dermalog			01600	0,43			0,00	
1.185	01401	Abziehbare Vorsteuer 7 %	05.02.19	819	IC HOT. FRANKF. AIRPOR FRANKFURT 000	Frankfurt			01750	5,20			0,00	
313	01401	Abziehbare Vorsteuer 7 %	06.02.19	282	OLB Kartenzahlung	Solcom	DIDE-Ablˆsung		01700	7,79			0,00	
314	01401	Abziehbare Vorsteuer 7 %	06.02.19	283	OLB PP.2280.PP .	Solcom	DIDE-Ablˆsung		01700	11,64			0,00	
1.211	01401	Abziehbare Vorsteuer 7 %	06.02.19	841	NH FRANKFURT AIRPORT KELSTERBACH 000	Frankfurt			01750	9,14			0,00	
1.553	01401	Abziehbare Vorsteuer 7 %	11.02.19	1062	7584 - PARK PLAZA BERLIN KUDAMM BERLIN 000				01710	11,06			0,00	
1.426	01401	Abziehbare Vorsteuer 7 %	06.03.19	980	406 - Ganztageskarte HVV, Hamburg AB oder 2 Ringe, 2.Kl.	Dermalog			01600	0,51			0,00	
1.525	01401	Abziehbare Vorsteuer 7 %	21.05.19	1036	396 - Apcoa Parking, Prorekrut 	M-R 7408			01600	0,59			0,00	
1.429	01401	Abziehbare Vorsteuer 7 %	24.05.19	983	125 - R.K. Betriebe Seehaus	Dermalog			01600	0,36			0,00	
484	01401	Abziehbare Vorsteuer 7 %	29.08.19	453	OLB Referenz 1006457373595 PP.9092.PP PAYPALMandat 5HUJ224WYP34LEinreicher		Lagardere		01730	3,92			0,00	
455	01401	Abziehbare Vorsteuer 7 %	17.09.19	424	OLB THE GEORGE HOTEL HAMBURG GIR 69285097//HAMBURG/DE 2019.09.16T19.59.52F		Lagardere		01740	1,18			0,00	
1.471	01401	Abziehbare Vorsteuer 7 %	11.10.19	549	OLB Backerei K. Schmidt//PREUsISCH OLDE2019-10-10T13:09:20 KFN1 VJ 2012 Ka		Kessebˆhmer		01700	0,56			0,00	
1.472	01401	Abziehbare Vorsteuer 7 %	11.10.19	549	<Storno> OLB Backerei K. Schmidt//PREUsISCH OLDE2019-10-10T13:09:20 KFN1 VJ 2012		Kessebˆhmer		01700	-0,56			0,00	
1.473	01401	Abziehbare Vorsteuer 7 %	11.10.19	1009	OLB Backerei K. Schmidt//PREUsISCH OLDE2019-10-10T13:09:20 KFN1 VJ 2012 Ka		Kessebˆhmer		01700	0,56			0,00	
88	01401	Abziehbare Vorsteuer 7 %	14.10.19	80	ACCORINVEST GERMANY GMBH//MUENCHEN/ 2019-10-10T22:02:15 KFN 1 VJ 2012 Kartenzahl		Kessebˆhmer		01700	4,97			0,00	
350	01401	Abziehbare Vorsteuer 7 %	14.10.19	319	OLB ACCORINVEST GERMANY GM		Lagardere		01700	4,97			0,00	
515	01401	Abziehbare Vorsteuer 7 %	14.10.19	80	<Storno> ACCORINVEST GERMANY GMBH//MUENCHEN/ 2019-10-10T22:02:15 KFN 1 VJ 2012 K		Kessebˆhmer		01700	-4,97			0,00	
629	01401	Abziehbare Vorsteuer 7 %	14.10.19	319	<Storno> OLB ACCORINVEST GERMANY GM		Lagardere		01700	-4,97			0,00	
630	01401	Abziehbare Vorsteuer 7 %	14.10.19	319	OLB ACCORINVEST GERMANY GM2		Kessebˆhmer		01700	4,97			0,00	
631	01401	Abziehbare Vorsteuer 7 %	14.10.19	319	<Storno> OLB ACCORINVEST GERMANY GM2		Kessebˆhmer		01700	-4,97			0,00	
632	01401	Abziehbare Vorsteuer 7 %	14.10.19	319	OLB ACCORINVEST GERMANY GM		Kessebˆhmer		01700	4,97			0,00	
633	01401	Abziehbare Vorsteuer 7 %	14.10.19	465	OLB ACCORINVEST GERMANY GM2		Kessebˆhmer		01700	4,97			0,00	
978	01401	Abziehbare Vorsteuer 7 %	14.10.19	656	OLB ACCORINVEST GERMANY GMBH//MUENCHEN/2019-10-10T22:02:15 KFN 1 VJ 2012 K				01700	4,97			0,00	
1.453	01401	Abziehbare Vorsteuer 7 %	14.10.19	319	<Storno> OLB ACCORINVEST GERMANY GM		Kessebˆhmer		01700	-4,97			0,00	
1.454	01401	Abziehbare Vorsteuer 7 %	14.10.19	465	<Storno> OLB ACCORINVEST GERMANY GM2		Kessebˆhmer		01700	-4,97			0,00	
1.455	01401	Abziehbare Vorsteuer 7 %	14.10.19	656	<Storno> OLB ACCORINVEST GERMANY GMBH//MUENCHEN/2019-10-10T22:02:15 KFN 1 VJ 201				01700	-4,97			0,00	
1.456	01401	Abziehbare Vorsteuer 7 %	14.10.19	1005	OLB ACCORINVEST GERMANY GMBH//MUENCHEN/2019-10-10T22:02:15 KFN 1 VJ 2012 K		Kessebˆhmer		01700	3,86			0,00	
102	01401	Abziehbare Vorsteuer 7 %	21.10.19	94	ACCORINVEST GERMANY GMBH//MUENCHEN/ 2019-10-17T19:55:26 KFN 1 VJ 2012 Kartenzahl	STHREE	Lagardere		01700	3,67			0,00	
117	01401	Abziehbare Vorsteuer 7 %	21.10.19	109	ACCORINVEST GERMANY GMBH//MUENCHEN/ DE 2019-10-20T15:17:40 Folgenr.000 Verfalld.	STHREE	Lagardere		01740	5,19			0,00	
