Konto	Name	Letzte Buchung	EB-Wert Soll	EB-Wert Haben	Summe für WJ Soll	Summe für WJ Haben	Summe per WJ Soll	Summe per WJ Haben	Saldo per WJ Soll	Saldo per WJ Haben	
00520	Pkw	20.11.20	13.483,56	0,00	561,12	0,00	561,12	0,00	14.044,68	0,00
00670	Geringwertige Wirtschaftsgüter	01.01.20	0,00	126,13	0,00	0,00	0,00	0,00	0,00	126,13
01401	Abziehbare Vorsteuer 7 %	29.06.20	0,00	0,00	152,76	10,34	152,76	10,34	142,42	0,00
01403	Abziehbare Vorsteuer 5 %	25.11.20	0,00	0,00	26,82	0,00	26,82	0,00	26,82	0,00
01405	Abziehbare Vorsteuer 16 %	20.12.20	0,00	0,00	993,54	0,00	993,54	0,00	993,54	0,00
01406	Abziehbare Vorsteuer 19 %	23.11.20	0,00	0,00	1.773,22	0,00	1.773,22	0,00	1.773,22	0,00
01460	Geldtransit	14.10.20	7.367,37	0,00	8.759,80	8.759,80	8.759,80	8.759,80	7.367,37	0,00
01600	Kasse	20.12.20	3.717,62	0,00	1.250,00	6.852,43	1.250,00	6.852,43	0,00	1.884,81
01610	Nebenkasse 1	01.01.20	1.798,08	0,00	0,00	0,00	0,00	0,00	1.798,08	0,00
01700	Bank Girokonto Coba	04.12.20	0,00	3.906,89	27.682,83	38.097,49	27.682,83	38.097,49	0,00	14.321,55
01710	Bank Kreditkarte Coba	01.01.20	0,00	169,00	0,00	0,00	0,00	0,00	0,00	169,00
01720	Bank Tagesgeldkonto Coba	01.01.20	0,14	0,00	0,00	0,00	0,00	0,00	0,14	0,00
01730	Bank (Postbank 3)	16.11.20	0,00	26.262,88	2.000,00	3.894,77	2.000,00	3.894,77	0,00	28.157,65
01740	Bank Ing Diba	03.12.20	595,20	0,00	2.463,63	3.106,42	2.463,63	3.106,42	0,00	47,59
01750	Bank Kreditkarte2 Coba	01.01.20	213,85	0,00	0,00	0,00	0,00	0,00	213,85	0,00
02100	Privatentnahmen allgemein	21.08.20	0,00	0,00	434,77	0,00	434,77	0,00	434,77	0,00
02101	Privat Tanken	24.06.20	0,00	0,00	292,44	0,00	292,44	0,00	292,44	0,00
02102	Privat Restaurant	13.10.20	0,00	0,00	757,42	0,00	757,42	0,00	757,42	0,00
02104	Privat Miete	26.11.20	0,00	0,00	7.723,36	43,38	7.723,36	43,38	7.679,98	0,00
02105	Privat Reisen	09.10.20	0,00	0,00	1.099,21	163,63	1.099,21	163,63	935,58	0,00
02107	Privat Bussgeld	25.11.20	0,00	0,00	1.980,08	20,00	1.980,08	20,00	1.960,08	0,00
02109	Privat Versicherungen	01.12.20	0,00	0,00	2.411,77	46,11	2.411,77	46,11	2.365,66	0,00
02110	Privat Vereine	31.01.20	0,00	0,00	207,00	0,00	207,00	0,00	207,00	0,00
02111	Privat Freizeit	10.06.20	0,00	0,00	521,50	0,00	521,50	0,00	521,50	0,00
02112	Privatentnahmen Lebensmittel	13.10.20	0,00	0,00	557,77	0,00	557,77	0,00	557,77	0,00
02114	Privatentnahmen Kleidung	13.10.20	0,00	0,00	390,00	0,00	390,00	0,00	390,00	0,00
02118	Wohnungseinrichtung	30.01.20	0,00	0,00	11,99	0,00	11,99	0,00	11,99	0,00
02180	Privateinlagen	04.12.20	0,00	0,00	0,00	13.950,20	0,00	13.950,20	0,00	13.950,20
03820	Umsatzsteuervorauszahlungen	16.11.20	0,00	0,00	2.829,02	5.672,35	2.829,02	5.672,35	0,00	2.843,33
03845	USt frühere Jahre	01.01.20	301,13	0,00	0,00	0,00	0,00	0,00	301,13	0,00
04659	Unentgeltliche Erbringung einer sonstigen Leistung ohne USt	08.04.20	0,00	0,00	0,00	5.000,00	0,00	5.000,00	0,00	5.000,00
05906	Fremdleistungen 19% Vorsteuer	27.07.20	0,00	0,00	17,94	0,00	17,94	0,00	17,94	0,00
