Konto	Name	Letzte Buchung	EB-Wert Soll	EB-Wert Haben	Summe für WJ Soll	Summe für WJ Haben	Summe per WJ Soll	Summe per WJ Haben	Saldo per WJ Soll	Saldo per WJ Haben	
01401	Abziehbare Vorsteuer 7 %	23.11.17	0,00	0,00	60,30	27,23	60,30	27,23	33,07	0,00
01406	Abziehbare Vorsteuer 19 %	27.12.17	0,00	0,00	3.686,19	94,87	3.686,19	94,87	3.591,32	0,00
01460	Geldtransit	29.12.17	0,00	0,00	11.863,91	12.369,46	11.863,91	12.369,46	0,00	505,55
01600	Kasse	29.12.17	0,00	0,00	23.139,42	15.063,45	23.139,42	15.063,45	8.075,97	0,00
01610	Nebenkasse 1	29.12.17	0,00	0,00	1.798,08	1.762,15	1.798,08	1.762,15	35,93	0,00
01700	Bank Girokonto Coba	31.12.17	30.421,33	0,00	122.532,11	105.757,14	122.532,11	105.757,14	47.196,30	0,00
01710	Bank Kreditkarte Coba	31.12.17	0,00	0,00	57.999,63	54.642,45	57.999,63	54.642,45	3.357,18	0,00
01720	Bank Tagesgeldkonto Coba	31.12.17	0,00	0,00	21.590,14	2.000,00	21.590,14	2.000,00	19.590,14	0,00
02100	Privatentnahmen allgemein	29.12.17	0,00	0,00	4.067,55	2.792,07	4.067,55	2.792,07	1.275,48	0,00
02101	Privat Tanken	04.12.17	0,00	0,00	265,27	0,00	265,27	0,00	265,27	0,00
02102	Privat Restaurant	22.12.17	0,00	0,00	1.192,27	59,68	1.192,27	59,68	1.132,59	0,00
02103	Privat Parken	23.11.17	0,00	0,00	65,80	12,00	65,80	12,00	53,80	0,00
02104	Privat Miete	27.12.17	0,00	0,00	11.173,43	0,00	11.173,43	0,00	11.173,43	0,00
02105	Privat Reisen	29.12.17	0,00	0,00	22.010,10	718,41	22.010,10	718,41	21.291,69	0,00
02106	Privat Abo	05.12.17	0,00	0,00	145,88	0,00	145,88	0,00	145,88	0,00
02107	Privat Bussgeld	13.11.17	0,00	0,00	165,00	0,00	165,00	0,00	165,00	0,00
02109	Privat Versicherungen	05.12.17	0,00	0,00	4.722,81	0,02	4.722,81	0,02	4.722,79	0,00
02110	Privat Vereine	06.11.17	0,00	0,00	24,00	0,00	24,00	0,00	24,00	0,00
02111	Privat Freizeit	09.12.17	0,00	0,00	197,83	12,00	197,83	12,00	185,83	0,00
02114	Privatentnahmen Kleidung	15.08.17	0,00	0,00	2.885,30	0,00	2.885,30	0,00	2.885,30	0,00
02129	Anpassungsbuchungen	31.12.17	0,00	0,00	3.257,74	55.604,96	3.257,74	55.604,96	0,00	52.347,22
02180	Privateinlagen	13.12.17	0,00	0,00	0,00	150,00	0,00	150,00	0,00	150,00
03806	Umsatzsteuer 19 %	11.12.17	0,00	0,00	0,00	8.634,23	0,00	8.634,23	0,00	8.634,23
03830	Umsatzsteuer-Vorauszahlungen 1/11	29.11.17	0,00	0,00	5.207,80	1.913,43	5.207,80	1.913,43	3.294,37	0,00
04400	Erlöse 19 % USt	11.12.17	0,00	0,00	0,00	45.443,33	0,00	45.443,33	0,00	45.443,33
06010	Löhne	27.11.17	0,00	0,00	0,00	11.132,62	0,00	11.132,62	0,00	11.132,62
06110	Gesetzliche soziale Aufwendungen	18.09.17	0,00	0,00	4.680,30	4.680,30	4.680,30	4.680,30	0,00	0,00
06170	Sonstige soziale Abgaben	05.12.17	0,00	0,00	7,50	7,50	7,50	7,50	0,00	0,00
06300	Sonstige betriebliche Aufwendungen	18.12.17	0,00	0,00	1.475,55	93,11	1.475,55	93,11	1.382,44	0,00
06392	Zuwendungen, Spenden für mildtätige Zwecke	15.12.17	0,00	0,00	336,00	0,00	336,00	0,00	336,00	0,00
06400	Versicherungen	03.07.17	0,00	0,00	265,06	144,03	265,06	144,03	121,03	0,00
06430	Sonstige Abgaben	27.12.17	0,00	0,00	77,76	0,00	77,76	0,00	77,76	0,00
06495	Wartungskosten für Hard- und Software	20.11.17	0,00	0,00	1.288,35	275,16	1.288,35	275,16	1.013,19	0,00
06530	Laufende Kfz-Betriebskosten	27.12.17	0,00	0,00	2.855,84	54,63	2.855,84	54,63	2.801,21	0,00
06540	Kfz-Reparaturen	27.12.17	0,00	0,00	1.633,90	0,00	1.633,90	0,00	1.633,90	0,00
06570	Sonstige Kfz-Kosten	21.12.17	0,00	0,00	18,06	0,00	18,06	0,00	18,06	0,00
06642	Eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil)	12.10.17	0,00	0,00	10,24	0,00	10,24	0,00	10,24	0,00
06670	Reisekosten Unternehmer	12.12.17	0,00	0,00	448,50	356,08	448,50	356,08	92,42	0,00
06673	Reisekosten Unternehmer, Fahrtkosten	12.12.17	0,00	0,00	1.530,27	97,80	1.530,27	97,80	1.432,47	0,00
06674	Reisekosten Unternehmer Verpflegungsmehraufwand	13.11.17	0,00	0,00	41,12	0,00	41,12	0,00	41,12	0,00
06680	Reisekosten UN Übernachtungsaufwand und Reisenebenkosten	13.11.17	0,00	0,00	320,00	0,00	320,00	0,00	320,00	0,00
06800	Porto	05.12.17	0,00	0,00	157,88	0,00	157,88	0,00	157,88	0,00
06805	Telefon	22.12.17	0,00	0,00	1.924,39	11,72	1.924,39	11,72	1.912,67	0,00
06810	Telefax und Internetkosten	12.10.17	0,00	0,00	78,43	0,00	78,43	0,00	78,43	0,00
06815	Bürobedarf	14.08.17	0,00	0,00	19,01	0,00	19,01	0,00	19,01	0,00
06821	Fortbildungskosten 	15.12.17	0,00	0,00	6.659,82	0,00	6.659,82	0,00	6.659,82	0,00
06837	Aufwendungen für Lizenzen, Konzessionen	24.07.17	0,00	0,00	499,14	0,00	499,14	0,00	499,14	0,00
06845	Werkzeuge und Kleingeräte	16.10.17	0,00	0,00	1.155,80	0,00	1.155,80	0,00	1.155,80	0,00
06855	Nebenkosten des Geldverkehrs	29.12.17	0,00	0,00	68,35	0,00	68,35	0,00	68,35	0,00
07685	Kfz-Steuer	04.12.17	0,00	0,00	308,00	0,00	308,00	0,00	308,00	0,00
09000	Saldenvorträge Sachkonten	01.01.17	0,00	30.421,33	0,00	0,00	0,00	0,00	0,00	30.421,33
