Konto	Name	Letzte Buchung	EB-Wert Soll	EB-Wert Haben	Summe für WJ Soll	Summe für WJ Haben	Summe per WJ Soll	Summe per WJ Haben	Saldo per WJ Soll	Saldo per WJ Haben	
00520	Pkw	20.12.19	12.881,51	0,00	662,05	60,00	662,05	60,00	13.483,56	0,00
00670	Geringwertige Wirtschaftsgüter	01.01.19	0,00	126,13	0,00	0,00	0,00	0,00	0,00	126,13
01401	Abziehbare Vorsteuer 7 %	24.12.19	0,00	0,00	202,87	0,00	202,87	0,00	202,87	0,00
01406	Abziehbare Vorsteuer 19 %	31.12.19	0,00	0,00	2.572,46	57,67	2.572,46	57,67	2.514,79	0,00
01460	Geldtransit	24.12.19	0,00	0,00	14.896,81	7.531,84	14.896,81	7.531,84	7.364,97	0,00
01600	Kasse	23.12.19	1.747,68	0,00	2.525,10	875,16	2.525,10	875,16	3.397,62	0,00
01610	Nebenkasse 1	01.01.19	1.798,08	0,00	0,00	0,00	0,00	0,00	1.798,08	0,00
01700	Bank Girokonto Coba	31.12.19	898,61	0,00	53.432,08	57.246,29	53.432,08	57.246,29	0,00	2.915,60
01710	Bank Kreditkarte Coba	29.11.19	0,00	0,00	169,00	472,70	169,00	472,70	0,00	303,70
01720	Bank Tagesgeldkonto Coba	25.09.19	90,14	0,00	0,00	90,00	0,00	90,00	0,14	0,00
01730	Bank (Postbank 3)	30.12.19	0,00	0,00	24.778,16	23.122,82	24.778,16	23.122,82	1.655,34	0,00
01740	Bank Ing Diba	31.12.19	0,00	0,00	3.659,99	3.064,79	3.659,99	3.064,79	595,20	0,00
01750	Bank Kreditkarte2 Coba	26.08.19	0,00	1.884,41	2.334,41	616,33	2.334,41	616,33	0,00	166,33
02100	Privatentnahmen allgemein	27.12.19	0,00	0,00	2.707,17	2.800,00	2.707,17	2.800,00	0,00	92,83
02101	Privat Tanken	04.11.19	0,00	0,00	568,69	150,36	568,69	150,36	418,33	0,00
02102	Privat Restaurant	23.12.19	0,00	0,00	1.568,83	38,60	1.568,83	38,60	1.530,23	0,00
02103	Privat Parken	02.12.19	0,00	0,00	158,16	0,00	158,16	0,00	158,16	0,00
02104	Privat Miete	27.12.19	0,00	0,00	5.261,34	0,00	5.261,34	0,00	5.261,34	0,00
02105	Privat Reisen	16.12.19	0,00	0,00	712,20	0,00	712,20	0,00	712,20	0,00
02106	Privat Abo	02.01.19	0,00	0,00	53,97	0,00	53,97	0,00	53,97	0,00
02107	Privat Bussgeld	23.12.19	0,00	0,00	1.824,97	50,00	1.824,97	50,00	1.774,97	0,00
02109	Privat Versicherungen	16.12.19	0,00	0,00	8.657,32	16,00	8.657,32	16,00	8.641,32	0,00
02110	Privat Vereine	04.02.19	0,00	0,00	196,00	0,00	196,00	0,00	196,00	0,00
02111	Privat Freizeit	17.12.19	0,00	0,00	267,65	0,00	267,65	0,00	267,65	0,00
02112	Privatentnahmen Lebensmittel	19.12.19	0,00	0,00	437,99	0,00	437,99	0,00	437,99	0,00
02114	Privatentnahmen Kleidung	15.08.19	0,00	0,00	861,40	169,00	861,40	169,00	692,40	0,00
02115	Privat Auto	13.05.19	0,00	0,00	6.500,00	0,00	6.500,00	0,00	6.500,00	0,00
02118	Wohnungseinrichtung	26.11.19	0,00	0,00	292,13	0,00	292,13	0,00	292,13	0,00
02180	Privateinlagen	31.12.19	0,00	0,00	0,00	4.267,62	0,00	4.267,62	0,00	4.267,62
03806	Umsatzsteuer 19 %	20.12.19	0,00	0,00	0,00	10.905,72	0,00	10.905,72	0,00	10.905,72
03820	Umsatzsteuervorauszahlungen	16.12.19	0,00	0,00	13.882,82	45,00	13.882,82	45,00	13.837,82	0,00
03845	USt frühere Jahre	29.11.19	0,00	0,00	301,13	0,00	301,13	0,00	301,13	0,00
04400	Erlöse 19 % USt	20.12.19	0,00	0,00	0,00	57.398,57	0,00	57.398,57	0,00	57.398,57
06300	Sonstige betriebliche Aufwendungen	02.04.19	0,00	0,00	266,23	0,00	266,23	0,00	266,23	0,00
06392	Zuwendungen, Spenden für mildtätige Zwecke	17.12.19	0,00	0,00	168,00	0,00	168,00	0,00	168,00	0,00
06400	Versicherungen	02.01.19	0,00	0,00	69,00	0,00	69,00	0,00	69,00	0,00
06430	Sonstige Abgaben	03.12.19	0,00	0,00	653,68	0,00	653,68	0,00	653,68	0,00
06495	Wartungskosten für Hard- und Software	18.03.19	0,00	0,00	101,17	0,00	101,17	0,00	101,17	0,00
06520	Kfz-Versicherungen	22.08.19	0,00	0,00	2.280,23	0,00	2.280,23	0,00	2.280,23	0,00
06530	Laufende Kfz-Betriebskosten	31.12.19	0,00	0,00	3.081,60	0,00	3.081,60	0,00	3.081,60	0,00
06540	Kfz-Reparaturen	29.11.19	0,00	0,00	1.982,91	0,00	1.982,91	0,00	1.982,91	0,00
06570	Sonstige Kfz-Kosten	07.11.19	0,00	0,00	216,64	36,98	216,64	36,98	179,66	0,00
06630	Repräsentationskosten	14.11.19	0,00	0,00	390,26	0,00	390,26	0,00	390,26	0,00
06642	Eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil)	30.10.19	0,00	0,00	988,98	0,00	988,98	0,00	988,98	0,00
06673	Reisekosten Unternehmer, Fahrtkosten	24.12.19	0,00	0,00	780,29	0,00	780,29	0,00	780,29	0,00
06674	Reisekosten Unternehmer Verpflegungsmehraufwand	31.12.19	0,00	0,00	1.104,86	0,00	1.104,86	0,00	1.104,86	0,00
06680	Reisekosten UN Übernachtungsaufwand und Reisenebenkosten	16.12.19	0,00	0,00	2.621,61	0,00	2.621,61	0,00	2.621,61	0,00
06800	Porto	15.07.19	0,00	0,00	21,88	0,00	21,88	0,00	21,88	0,00
06805	Telefon	23.12.19	0,00	0,00	995,98	99,86	995,98	99,86	896,12	0,00
06810	Telefax und Internetkosten	02.12.19	0,00	0,00	372,32	149,90	372,32	149,90	222,42	0,00
06837	Aufwendungen für Lizenzen, Konzessionen	02.12.19	0,00	0,00	347,90	0,00	347,90	0,00	347,90	0,00
06845	Werkzeuge und Kleingeräte	17.12.19	0,00	0,00	1.967,61	16,80	1.967,61	16,80	1.950,81	0,00
